"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SNAPC1",-0.146175633283626,4.58259427378438,-1.04570739831167,0.317754327330667,0.484032069702005,-6.45589572441977
"KIAA0141",-0.186153843589897,2.28645845480896,-1.04406835816066,0.318479453616592,0.48507134441671,-6.07684039894319
"SSU72",-0.110500270753215,3.81949361674026,-1.0439169351125,0.318546506752991,0.485108172800821,-6.36300168866479
"LOC100506804",0.261531413190429,0.959997955600356,1.04380495369314,0.318596101120259,0.485118407236675,-5.77854545093688
"PCDH11X",0.134977056873103,3.38183809624683,1.04344789384523,0.318754274332562,0.485293946995821,-6.29362884986086
"BEND3",-0.240308503007745,0.936373625925259,-1.04328661672787,0.318825737337216,0.485305092136195,-5.77022730344106
"LRIF1",0.108067425795412,5.60989054605354,1.04323778898362,0.31884737560234,0.485305092136195,-6.54483117265442
"ADCY2",-0.131605205679822,3.22368826039726,-1.04275096873783,0.319063172337204,0.48556823066516,-6.26571054164942
"C6orf52",0.149859319006937,2.29965968317004,1.04249389874769,0.319177169716454,0.485676395285326,-6.08207309650242
"LSG1",-0.133178061369952,3.56468091785653,-1.04237847070296,0.319228366014137,0.485688982311411,-6.32491846407579
"ZNF567",0.111072311695208,4.32717949536367,1.04181987946681,0.319476206819096,0.486000709889496,-6.4322446818606
"CCDC53",-0.105772237115363,4.22526805031145,-1.0417103550135,0.319524818416765,0.486009318508629,-6.42001271410767
"RPRD1A",-0.0922671823862835,5.72436481618295,-1.04133595959303,0.319691032580596,0.486179815660518,-6.55466909743072
"PPL",-0.307120091479033,-0.246243561390717,-1.04126431560984,0.319722846516121,0.486179815660518,-5.47441449939125
"TRMT10B",-0.128526803291196,3.12409102175537,-1.04090292233387,0.319883361277478,0.486358537067276,-6.24917168724714
"VAMP1",0.19195578500819,1.13563795169334,1.04065790429603,0.319992221471638,0.486458684126238,-5.82551323299302
"BNIP2",-0.153604156301913,2.92579588721632,-1.04039057004757,0.320111028092452,0.486573923007267,-6.21178379500859
"TMEM25",-0.238303971198187,1.45400404409036,-1.03969336371327,0.320421029592217,0.486918764202626,-5.90049323606049
"TYW1B",0.167473102748648,2.89696960399852,1.0396867733425,0.320423960959147,0.486918764202626,-6.20760443577857
"FBXW2",-0.132716432134244,4.27085376619226,-1.03946015436634,0.320524772188349,0.486975150775093,-6.42773163502737
"CAST",-0.0886670180937852,7.12146055945095,-1.03940987302119,0.320547142993627,0.486975150775093,-6.63554059067136
"LACE1",-0.347804299079232,-0.450227102648672,-1.03814776727766,0.321109050303658,0.487763216285681,-5.428643291266
"MAU2",0.153142246570409,2.37329121460302,1.03805115062241,0.321152095565914,0.487763216285681,-6.10210220226523
