	SRR12626034	SRR12626035	SRR12626036	SRR12626040	SRR12626041	SRR12626042
ERI1	432	446	504	1098	516	682
ERI2	638	498	589	728	402	606
ERI3	304	267	208	396	229	324
ERICH1	79	69	58	108	47	93
ERICH2	283	282	272	183	121	184
ERICH5	54	63	39	59	36	43
ERICH6-AS1	72	74	57	54	34	53
ERLEC1	1198	1291	1079	1542	782	1195
ERLIN1	1678	1874	1858	1943	1238	1872
ERLIN2	713	637	638	981	532	643
ERMAP	244	210	183	193	115	139
ERMARD	13	42	2	73	6	118
ERMN	7552	7351	7589	5716	3168	6834
ERMP1	819	696	639	477	283	402
ERO1A	7414	11847	10006	12168	6237	10483
ERO1B	605	600	524	714	258	535
ERP29	1152	1233	953	976	703	938
ERP44	2802	2463	1974	2991	1580	2384
ERRFI1	878	752	681	4196	2175	2501
ERV3-1	258	251	161	325	105	278
ERVK13-1	267	229	196	340	193	213
ESCO1	3122	3141	2531	4396	1707	3212
ESCO2	151	57	90	273	130	115
ESD	2704	2874	2521	4408	2230	2984
ESF1	2008	1634	1380	2672	1152	2165
ESRRG	739	643	657	252	200	289
ESYT1	583	657	412	1338	682	765
ESYT2	426	424	353	547	341	277
ETAA1	1499	1307	1169	1602	583	1175
ETF1	1410	1452	1252	2188	1653	1948
ETFA	1598	1407	1272	1763	1093	1322
ETFB	168	168	94	197	121	161
ETFDH	1051	894	781	843	389	749
ETHE1	29	60	37	48	37	60
ETNK1	20560	16288	15562	31369	11618	19581
ETNK2	49	47	27	49	35	41
ETS1	40	69	56	352	123	149
ETS2	170	274	169	243	127	216
ETV1	724	848	807	1595	973	1356
ETV3	41	35	47	98	59	67
